task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,R2_RandomForestRegressor,MSE_RandomForestRegressor,R2_XGBRegressor,MSE_XGBRegressor
361234,abalone,rings,"4,177",8,0,1,0.55 +/- 0.02,0.45 +/- 0.04,0.47 +/- 0.02,0.53 +/- 0.05
361235,airfoil_self_noise,sound_pressure,"1,503",5,0,0,0.94 +/- 0.01,0.06 +/- 0.01,0.96 +/- 0.01,0.04 +/- 0.01
361236,auction_verification,verification.time,"2,043",7,0,2,0.99 +/- 0.00,0.01 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361237,concrete_compressive_strength,strength,"1,030",8,0,0,0.92 +/- 0.03,0.08 +/- 0.02,0.94 +/- 0.02,0.06 +/- 0.02
361241,physiochemical_protein,RMSD,"45,730",9,0,0,0.68 +/- 0.00,0.32 +/- 0.01,0.63 +/- 0.01,0.37 +/- 0.01
361242,superconductivity,critical_temp,"21,263",81,0,0,0.93 +/- 0.01,0.07 +/- 0.01,0.92 +/- 0.01,0.08 +/- 0.01
361243,geographical_origin_of_music,latitude,"1,059",116,0,0,0.27 +/- 0.06,0.73 +/- 0.16,0.22 +/- 0.09,0.78 +/- 0.19
361244,solar_flare,c_class_flares,"1,066",10,0,8,-0.17 +/- 0.20,1.14 +/- 0.37,-0.42 +/- 0.38,1.32 +/- 0.36
361247,naval_propulsion_plant,gt_compressor_decay_state_coefficient,"11,934",14,0,0,1.00 +/- 0.00,0.00 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361249,white_wine,quality,"4,898",11,0,0,0.54 +/- 0.04,0.45 +/- 0.04,0.50 +/- 0.05,0.49 +/- 0.05
361250,red_wine,quality,"1,599",11,0,0,0.51 +/- 0.06,0.48 +/- 0.08,0.44 +/- 0.09,0.55 +/- 0.10
361251,grid_stability,stab,"10,000",12,0,0,0.90 +/- 0.01,0.10 +/- 0.00,0.93 +/- 0.01,0.07 +/- 0.00
361252,video_transcoding,utime,"68,784",18,0,2,0.99 +/- 0.00,0.01 +/- 0.00,0.99 +/- 0.00,0.01 +/- 0.00
361253,wave_energy,energy_total,"72,000",48,0,0,0.84 +/- 0.00,0.16 +/- 0.00,0.97 +/- 0.00,0.03 +/- 0.00
361254,sarcos,V22,"48,933",21,0,0,0.98 +/- 0.00,0.02 +/- 0.00,0.98 +/- 0.00,0.02 +/- 0.00
361255,california_housing,medianHouseValue,"20,640",8,0,0,0.82 +/- 0.01,0.18 +/- 0.01,0.83 +/- 0.01,0.17 +/- 0.01
361256,cpu_activity,usr,"8,192",21,0,0,0.98 +/- 0.01,0.02 +/- 0.00,0.98 +/- 0.01,0.02 +/- 0.01
361257,diamonds,price,"53,940",9,0,3,0.98 +/- 0.00,0.02 +/- 0.00,0.98 +/- 0.00,0.02 +/- 0.00
361258,kin8nm,y,"8,192",8,0,0,0.72 +/- 0.01,0.28 +/- 0.01,0.78 +/- 0.01,0.22 +/- 0.01
361259,pumadyn32nh,thetadd6,"8,192",32,0,0,0.64 +/- 0.02,0.36 +/- 0.03,0.58 +/- 0.03,0.42 +/- 0.03
361260,miami_housing,SALE_PRC,"13,932",15,0,0,0.91 +/- 0.01,0.09 +/- 0.01,0.91 +/- 0.01,0.09 +/- 0.01
361261,cps88wages,wage,"28,155",6,0,4,0.19 +/- 0.04,0.82 +/- 0.20,0.21 +/- 0.04,0.80 +/- 0.19
361264,socmob,counts_for_sons_current_occupation,"1,156",5,0,4,0.73 +/- 0.23,0.24 +/- 0.17,0.78 +/- 0.21,0.23 +/- 0.20
361266,kings_county,price,"21,613",21,0,4,0.88 +/- 0.04,0.12 +/- 0.03,0.88 +/- 0.04,0.11 +/- 0.03
361267,brazilian_houses,total,"10,692",9,0,4,0.64 +/- 0.23,0.20 +/- 0.28,0.59 +/- 0.36,0.07 +/- 0.09
361268,fps_benchmark,FPS,"24,624",39,"69,696",13,1.00 +/- 0.00,0.00 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361269,health_insurance,whrswk,"22,272",11,0,7,0.32 +/- 0.02,0.68 +/- 0.02,0.31 +/- 0.02,0.69 +/- 0.02
361272,fifa,wage_eur,"19,178",28,0,1,0.77 +/- 0.03,0.22 +/- 0.04,0.75 +/- 0.04,0.25 +/- 0.04
361616,Moneyball,RS,"1,232",10,"3,600",4,0.93 +/- 0.01,0.07 +/- 0.01,0.93 +/- 0.00,0.07 +/- 0.00
361617,energy_efficiency,heating_load,768,8,0,0,1.00 +/- 0.00,0.00 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361618,forest_fires,area,517,12,0,2,-2.40 +/- 2.89,1.81 +/- 3.48,-10.35 +/- 17.06,2.39 +/- 3.44
361619,student_performance_por,G3,649,30,0,17,0.26 +/- 0.17,0.73 +/- 0.28,0.17 +/- 0.19,0.81 +/- 0.30
361621,QSAR_fish_toxicity,LC50,908,6,0,0,0.62 +/- 0.06,0.37 +/- 0.06,0.58 +/- 0.08,0.42 +/- 0.07
361622,cars,Price,804,17,0,0,0.94 +/- 0.02,0.06 +/- 0.01,0.94 +/- 0.02,0.06 +/- 0.01
361623,space_ga,ln_votes_pop,"3,107",6,0,0,0.66 +/- 0.06,0.35 +/- 0.16,0.69 +/- 0.04,0.32 +/- 0.12
